abandoned	abandon的过去式
abbreviated abbreviate的过去式
abode	abide的过去式
abolished	abolish的过去式
aborted abort的过去式
abounded	abound的过去式
abridged	abridge的过去式
absorbed	absorb的过去式
accelerated accelerate的过去式
accented	accent的过去式
accentuated accentuate的过去式
accepted	accept的过去式
accessed	access的过去式
acclaimed	acclaim的过去式
accommodated	accommodate的过去式
accompanied accompany的过去式
accomplished	accomplish的过去式
accorded	accord的过去式
accounted	account的过去式
accumulated accumulate的过去式
accused accuse的过去式
accustomed	accustom的过去式
ached	ache的过去式
achieved	achieve的过去式
acknowledged	acknowledge的过去式
acquainted	acquaint的过去式
acquired	acquire的过去式
acted	act的过去式
activated	activate的过去式
adapted adapt的过去式
added	add的过去式
addressed	address的过去式
adhered adhere的过去式
adjoined	adjoin的过去式
adjusted	adjust的过去式
administered	administer的过去式
administrated	administrate的过去式
admired admire的过去式
admitted	admit的过去式
adopted adopt的过去式
adored	adore的过去式
advanced	advance的过去式
advantaged	advantage的过去式
adventured	adventure的过去式
advertised	advertise的过去式
advised advise的过去式
affirmed	affirm的过去式
afflicted	afflict的过去式
afforded	afford的过去式
aged	age的过去式
aggravated	aggravate的过去式
agitated	agitate的过去式
agreed	agree的过去式
aided	aid的过去式
aimed	aim的过去式
aired	air的过去式
airbrushed	airbrush的过去式
airmailed	airmail的过去式
alarmed alarm的过去式
alerted alert的过去式
aliened alien的过去式
alienated	alienate的过去式
aligned align的过去式
alleged allege的过去式
alleviated	alleviate的过去式
allocated	allocate的过去式
allotted	allot的过去式
allowed allow的过去式
allowanced	allowance的过去式
allied	ally的过去式
altered alter的过去式
amassed amass的过去式
amazed	amaze的过去式
ambitioned	ambition的过去式
amended amend的过去式
amounted	amount的过去式
amplified	amplify的过去式
amputated	amputate的过去式
amused	amuse的过去式
analyzed	analyze的过去式
anchored	anchor的过去式
anesthetized	anesthetize的过去式
angeled angel的过去式
angered anger的过去式
anguished	anguish的过去式
annihilated annihilate的过去式
annotated	annotate的过去式
answered	answer的过去式
anticipated anticipate的过去式
aped	ape的过去式
apologized	apologize的过去式
appalled	appal的过去式
appealed	appeal的过去式
appeared	appear的过去式
appended	append的过去式
appendixed	appendix的过去式
applauded	applaud的过去式
applied apply的过去式
appointed	appoint的过去式
apportioned apportion的过去式
appreciated appreciate的过去式
apprenticed apprentice的过去式
approached	approach的过去式
appropriated	appropriate的过去式
approved	approve的过去式
approximated	approximate的过去式
